name,code
100 파이퍼스,pipers
1776제임스 e 페퍼,jamesepepper
고든,gordon
그레이 구스,greygoose
길비스,gilbeys
깔루아,kahlua
깔바도스,calvados
듀어스 - 화이트 라벨,dewarswhite
디사론노,disaronno
딥에디 - 스위트 티,deepeddysweet
딥에디 - 오리지널,deepeddyoriginal
말리부,malibu
메이커스 마크,makersmark
몽키숄더,monkeyshoulder
바카디 - 카르타 블랑카,bacardicartablanca
바카디 모히또,bacardimojito
발렌타인 - 12년,ballantine12
발렌타인 - 파이니스트,ballantinefinest
버팔로 트레이스,buffalotrace
벨즈,bells
볼스 피치,bolspeach
봄베이 사파이어,bombay
불렛 라이,bulleitrye
불렛 버번,bulleitbuorbon
블랙 앤 화이트,blackandwhite
블랙바틀,blackbottle
비피터,beefeater
슈슈,xuxu
스미노프 - 그린애플,smirnoffredgreen
스미노프 - 레드,smirnoffred
스카치 블루 - 인터내셔널,scotchblue
스타리노 로제,starlinorose
시바스 리갈 - 12년,chivasregal12
싱글톤 - 더프타운 12년,singleton
아페롤,aperol
아페롤 스프리츠,aperolspritz
앱솔루트,absolut
앱솔루트 - 자몽,absolutgrape
업타운 마가리타,uptown
에반 윌리엄스,evanwilliams
예거 마이스터,jagermeister
옐로우로즈,yellowrose
와일드 터키 - 101,wildturkey
윈저,windsor
잭다니엘,jackdaniel
잭다니엘 허니,jackdanielhonney
조니워커 - 블랙라벨,johnniewalkerblack
짐빔 - 화이트라벨,jimbeamwhite
칼라일,carlyle
탈리스만,talisman
탈리스커,talisker
탱커레이,tanqueray
파쏘아,passoa
파이어볼,fireball
팔리니,pallini
패스포트,passport
페이머스 그라우스,famousgrouse
피치트리,peachtree
핀란디아,finlandia
하바나 클럽,havanaclub
핸드릭스,hendricks
호세쿠엘보,josecuervo
호세쿠엘보 마가리타,josecuervomagarita
화이트 레이크,whitelake
