,level1,level2,code
0,소주,퇴근,gilbeys
1,소주,퇴근,finlandia
2,소주,퇴근,whitelake
3,소주,퇴근,blackandwhite
4,소주,퇴근,carlyle
5,소주,퇴근,absolut
6,소주,퇴근,deepeddyoriginal
7,소주,승리,gilbeys
8,소주,승리,pipers
9,소주,승리,talisman
10,소주,승리,beefeater
11,소주,승리,smirnoffred
12,소주,승리,josecuervo
13,소주,승리,jagermeister
14,소주,승리,greygoose
15,소주,승리,calvados
16,소주,연인,smirnoffred
17,소주,연인,absolutgrape
18,소주,연인,greygoose
19,소주,연인,gilbeys
20,소주,연인,finlandia
21,소주,연인,kahlua
22,소주,위로,deepeddyoriginal
23,소주,위로,greygoose
24,소주,위로,evanwilliams
25,소주,위로,absolut
26,소주,위로,whitelake
27,소주,위로,finlandia
28,소주,위로,hendricks
29,소주,위로,bombay
30,소주,축제,aperol
31,소주,축제,passoa
32,소주,축제,aperolspritz
33,소주,축제,josecuervomagarita
34,소주,축제,peachtree
35,소주,축제,bacardimojito
36,소주,축제,uptown
37,소주,기념,gilbeys
38,소주,기념,finlandia
39,소주,기념,havanaclub
40,소주,기념,deepeddyoriginal
41,소주,기념,blackbottle
42,소주,기념,smirnoffred
43,소주,기념,absolut
44,소주,기념,ballantinefinest
45,소주,기념,jackdaniel
46,소주,기념,jackdanielhonney
47,소주,기념,greygoose
48,소주,기념,scotchblue
49,소주,기념,whitelake
50,소주,기본,absolut
51,소주,기본,scotchblue
52,소주,기본,jimbeamwhite
53,소주,기본,deepeddyoriginal
54,소주,기본,finlandia
55,소주,기본,whitelake
56,소주,기본,fireball
57,소주,감사,singleton
58,소주,감사,monkeyshoulder
59,소주,감사,ballantine12
60,소주,감사,chivasregal12
61,소주,감사,greygoose
62,소주,감사,smirnoffred
63,소주,감사,gilbeys
64,부드러운,퇴근,carlyle
65,부드러운,퇴근,passport
66,부드러운,퇴근,famousgrouse
67,부드러운,퇴근,talisman
68,부드러운,퇴근,bells
69,부드러운,퇴근,blackandwhite
70,부드러운,퇴근,gilbeys
71,부드러운,승리,talisman
72,부드러운,승리,passport
73,부드러운,승리,pipers
74,부드러운,승리,carlyle
75,부드러운,연인,passport
76,부드러운,연인,talisman
77,부드러운,연인,carlyle
78,부드러운,연인,absolutgrape
79,부드러운,연인,famousgrouse
80,부드러운,연인,smirnoffred
81,부드러운,연인,monkeyshoulder
82,부드러운,연인,chivasregal12
83,부드러운,위로,evanwilliams
84,부드러운,위로,deepeddyoriginal
85,부드러운,위로,buffalotrace
86,부드러운,위로,makersmark
87,부드러운,위로,bulleitrye
88,부드러운,축제,peachtree
89,부드러운,축제,bacardimojito
90,부드러운,축제,aperolspritz
91,부드러운,축제,aperol
92,부드러운,축제,passoa
93,부드러운,축제,pallini
94,부드러운,축제,josecuervomagarita
95,부드러운,축제,uptown
96,부드러운,기념,passport
97,부드러운,기념,talisman
98,부드러운,기념,carlyle
99,부드러운,기념,blackbottle
100,부드러운,기념,famousgrouse
101,부드러운,기념,ballantinefinest
102,부드러운,기념,monkeyshoulder
103,부드러운,기념,chivasregal12
104,부드러운,기본,dewarswhite
105,부드러운,기본,famousgrouse
106,부드러운,기본,windsor
107,부드러운,기본,passport
108,부드러운,기본,talisman
109,부드러운,기본,carlyle
110,부드러운,기본,monkeyshoulder
111,부드러운,기본,johnniewalkerblack
112,부드러운,기본,chivasregal12
113,부드러운,감사,chivasregal12
114,부드러운,감사,monkeyshoulder
115,부드러운,감사,bulleitrye
116,부드러운,감사,singleton
